lat	lon	title	description	icon	iconSize	iconOffset
30.945056	75.831204	Severity Score: 44	Order of Black Spot Priority: 5	coe2.jpeg	20,20	0,0
30.936243	75.854321	Severity Score: 67	Order of Black Spot Priority: 2	coe2.jpeg	20,20	0,0
30.875405	75.844976	Severity Score: 42	Order of Black Spot Priority: 5	coe2.jpeg	20,20	0,0
30.866528	75.922402	Severity Score: 61	Order of Black Spot Priority: 3	coe2.jpeg	20,20	0,0
30.937176	75.836804	Severity Score: 56	Order of Black Spot Priority: 3	coe2.jpeg	20,20	0,0
30.836851	75.972149	Severity Score: 47	Order of Black Spot Priority: 5	coe2.jpeg	20,20	0,0
30.91003	75.879017	Severity Score: 66	Order of Black Spot Priority: 2	coe2.jpeg	20,20	0,0
30.897366	75.883772	Severity Score: 38	Order of Black Spot Priority: 5	coe2.jpeg	20,20	0,0
30.88925	75.85845	Severity Score: 36	Order of Black Spot Priority: 5	coe2.jpeg	20,20	0,0
30.903404	75.881839	Severity Score: 34	Order of Black Spot Priority: 5	coe2.jpeg	20,20	0,0
30.933125	75.865617	Severity Score: 69	Order of Black Spot Priority: 2	coe2.jpeg	20,20	0,0
30.937798	75.846696	Severity Score: 46	Order of Black Spot Priority: 5	coe2.jpeg	20,20	0,0
30.930471	75.871256	Severity Score: 86	Order of Black Spot Priority: 1	coe2.jpeg	20,20	0,0
30.891618	75.847706	Severity Score: 33	Order of Black Spot Priority: 5	coe2.jpeg	20,20	0,0
30.942027	75.833465	Severity Score: 85	Order of Black Spot Priority: 1	coe2.jpeg	20,20	0,0
